speaker-name,number-of-lectures
'0000-0002-9284-5531',1
'0000-0002-3428-3438',1
'0000-0002-0532-2653',1
'0000-0003-3599-2081',1
'0000-0002-9003-5746',1
'Q126692145',1
'Q126692146',1
'0000-0001-6064-6338',1
'0000-0003-2972-8233',1
'0009-0000-3135-0853',1
'0000-0003-0159-6144',1
'0000-0003-0069-3436',1
'Q126692154',1
'0000-0002-9307-7212',1
'0000-0003-4995-8730',1
'0009-0007-4146-955X',1
'0000-0001-9590-304X',1
'0000-0002-3360-0104',1
'0000-0001-9954-7695',1
'0000-0002-7045-6877',1
'0000-0003-3077-7331',1
'0000-0002-5780-5665',1
'0000-0001-7427-2410',1
'0000-0003-0130-261X',1
'0000-0001-5846-3268',1
'0000-0001-8731-742X',1
'Q126598251',1
'0000-0001-6630-366X',1
'0000-0003-4664-5536',1
'Q126692173',1
'0000-0002-4214-9933',1
'0000-0002-1550-9761',1
'0000-0002-2132-3410',1
'0000-0002-2794-2116',1
'0000-0003-0958-886X',1
'0000-0003-1514-2258',1
'0000-0001-5311-2864',1
'0000-0001-5387-3532',1
'Q126692179',1
'0000-0003-2687-6441',1
'0000-0003-4046-3993',1
'0000-0002-4408-6016',1
'Q126692183',1
'Q126692184',1
'Q126692186',1
'0009-0002-6805-0824',1
'Q126692188',1
'0000-0002-9396-636X',1
'0000-0001-5809-2815',1
'Q126692193',1
'0000-0003-4589-9024',1
'0000-0002-4684-938X',1
'0000-0002-4555-2816',1
'0000-0002-2717-3409',1
'0009-0005-7894-6271',1
'0000-0002-0499-3789',1
'0000-0001-9181-8032',1
'0000-0002-8893-8153',1
'0000-0002-6058-0436',1
'0000-0003-3196-6230',1
'0000-0003-1733-9601',1
'0000-0002-6593-3974',1
'0000-0002-4105-1045',1
'0000-0001-6708-1237',1
'0000-0001-5569-6568',1
'0000-0002-3119-7892',1
'0000-0003-4782-769X',1
'Q1935950',1
'0000-0001-8395-1917',1
'Q126595717',1
'0000-0002-3107-0285',1
'Q126692210',1
'Q126692211',1
'0009-0004-3286-007X',1
'Q126598262',1
'0009-0003-9420-9808',1
'0009-0008-0928-1642',1
'0009-0003-3602-2287',1
'0000-0002-6598-0180',1
'0009-0003-2916-4658',1
'0000-0002-6375-530X',1
'0009-0003-4428-5570',1
'Q126692215',1
'Q126692216',1
'Q126692217',1
'0000-0003-1778-4908',1
'0000-0003-3818-8718',1
'0000-0002-3913-2946',1
'0009-0006-6620-1325',1
'0000-0002-3241-6575',1
'0009-0004-6005-3929',1
'Q126692223',1
'0000-0003-3406-5104',1
'0000-0002-1653-6614',1
'Q126598268',1
'0009-0001-3851-1469',1
'0000-0002-0549-5423',1
'0000-0002-1979-3157',1
'0000-0003-0596-6333',1
'0000-0001-5215-7980',1
'0000-0002-7465-2795',1
'0000-0002-4189-3162',1
'0000-0001-5453-0208',1
'0000-0002-4085-3337',1
'0000-0003-3082-0475',1
'0009-0001-2664-2453',1
'0009-0006-8169-0200',1
'0000-0002-3690-2992',1
'0000-0003-0367-6316',1
'0000-0001-6754-8810',1
'0000-0002-2593-8754',1
'Q140834627',1
'0000-0002-2841-9327',1
'Q140339375',1
'0009-0002-2245-281X',1
'0009-0001-2105-082X',1
'0009-0004-1498-495X',1
'Hammer, Sophie',1
'Wick, Claudia',1
'Henniger, Christine',1
'Pößniker, Sebastian',1
'0000-0002-8676-3935',1
'0000-0002-1291-9220',1
'0000-0003-3355-6067',1
'0009-0003-7195-2682',1
'0009-0004-4914-1864',1
'Garita Figueiredo, Renato',1
'Konczak-Nagel, Ines',1
'0000-0002-8540-2396',1
'Helmer, Henrike',1
'Grund, Vera',1
'Santini, Cristian',1
'Garay, Nele',1
'Tirtohusodo, Samantha',1
'Klähn, Jannis',1
'Ruppen Coutaz, Rapahëlle',1
'Beelen, Kaspar',1
'0000-0002-9826-018X',1
'Pfaff, Sebastian',1
'Beriozchin, Evghenii',1
'Weyh, Paulina',1
'Gerstmeier, Markus',1
'Ernst, Marlene',1
'Ried, Dennis',1
'0000-0002-6818-6169',1
'Rheinwald, Florin',1
'Kinder, Anna',1
'Sturm, Rebecca',1
'Vu, Thang',1
'0000-0002-5587-902X',1
'0000-0001-7171-8106',1
'Sasse, Jonathan',1
'Rietdorf, Clemens',1
'Heide, Gerhard',1
'Kahlert, Torsten',1
'0000-0002-8468-6411',1
'0000-0002-3261-9735',1
'0000-0001-8341-1187',1
'0009-0002-0819-958X',1
'0009-0001-5858-7698',1
'0000-0003-2198-8989',1
'Salzburger, Stefanie',1
'0000-0002-9011-5113',1
'0000-0002-3208-4881',1
'Aeby, Jonas',1
'0000-0003-4229-8688',1
'Vonwiller, Aline',1
'0000-0001-9920-4238',1
'Forkel, Robert',1
'List, Johann-Mattis',1
'Tartler, Annerose',1
'0000-0002-0910-8566',1
'Dietzsch, Ina',1
'0000-0002-7749-645X',1
'0000-0002-3131-9415',1
'0000-0002-0672-6633',1
'Hart, Stephen',1
'Schneider, Jonas',1
'Rogalski, Sara',1
'Wetzel, Sandra',1
'0000-0002-5114-0594',1
'Tosques, Fabio',1
'0000-0003-4027-0278',1
'Brolich, Nina',1
'0000-0003-0357-3421',1
'0000-0002-1096-3957',1
'Sautter, Lilja',1
'Mustafa, Mehmed',1
'0009-0002-6670-3692',1
'Schumacher, Anna-Lena',1
'Runkel, Tobias',1
'Blank, Lina Lucy',1
'0000-0002-2824-1485',1
'0000-0002-8591-7859',1
'0000-0001-7605-7415',1
'0000-0002-8482-807X',1
'Kühn, Ramona',1
'Mitrović, Jelena',1
'Reiter, Georg',1
'0000-0003-4178-086X',1
'0000-0003-1860-6695',1
'Gärtner, Chantal',1
'Herold, Jürgen',1
'Michel, Maximilian',1
